Path,Class,Folder,File,Pages,,SUM,111508,,Path,Class,Folder,File,Pages,,SUM,21185
NYS Tracking Documents\(Done) R4\(Done) 4A-485 LONGHORN TRUCKING COMPANY,R4,(Done) 4A-485 LONGHORN TRUCKING COMPANY,4A-485_Longhorn_Trucking_cdd.2021-11.wtd.pdf,16,,R1,47814,,Out of State Tracking Documents\CT\CT-236 EZ TRUCKING LLC,CT,CT-236 EZ TRUCKING LLC,CT-236_EZ_Trucking_cdd.2019-11.wtd.pdf,1,,CT,1
NYS Tracking Documents\(Done) R4\(Done) 4A-485 LONGHORN TRUCKING COMPANY,R4,(Done) 4A-485 LONGHORN TRUCKING COMPANY,4A-485_Longhorn_Trucking_cdd.2021-11A.wtd.pdf,14,,R2,44357,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2019-08.wtd.pdf,4,,NC,268
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-09.wtd.pdf,17,,R3,9534,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2019-09.wtd.pdf,25,,NJ,19068
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-09A.wtd.pdf,9,,R4,9658,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2019-10.wtd.pdf,8,,PA,1848
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-09B.wtd.pdf,1,,R7,138,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2019-10A.wtd.pdf,1,,SUM,21185
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-09C.wtd.pdf,14,,R8,7,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2019-11.wtd.pdf,12,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-09D.wtd.pdf,10,,SUM,111508,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2019-12.wtd.pdf,25,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-10.wtd.pdf,30,,,,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2020-01.wtd.pdf,25,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-10A.wtd.pdf,28,,,,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2020-01A.wtd.pdf,6,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-10B.wtd.pdf,7,,,,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2020-02.wtd.pdf,25,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-10C.wtd.pdf,8,,,,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2020-07.wtd.pdf,4,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-10D.wtd.pdf,3,,,,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2020-08.wtd.pdf,7,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-10E.wtd.pdf,2,,,,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2020-08A.wtd.pdf,9,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-10F.wtd.pdf,1,,,,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2020-11A.wtd.pdf,25,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-10G.wtd.pdf,3,,,,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2021-04.wtd.pdf,16,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-10H.wtd.pdf,1,,,,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2021-06.wtd.pdf,38,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-10I.wtd.pdf,3,,,,,Out of State Tracking Documents\NC\NC-023 FRANCO MASONRY,NC,NC-023 FRANCO MASONRY,NC-023_Franco_Masonry_cdd.2021-07.wtd.pdf,38,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-10J.wtd.pdf,1,,,,,Out of State Tracking Documents\NJ\(Done) NJ-146 RUSSELL REID,NJ,(Done) NJ-146 RUSSELL REID,NJ-146_Russell_Reid_cdd.2019-06.wtd.pdf,1,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-10K.wtd.pdf,2,,,,,Out of State Tracking Documents\NJ\(Done) NJ-146 RUSSELL REID,NJ,(Done) NJ-146 RUSSELL REID,NJ-146_Russell_Reid_cdd.2019-07.wtd.pdf,2,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-10L.wtd.pdf,3,,,,,Out of State Tracking Documents\NJ\(Done) NJ-146 RUSSELL REID,NJ,(Done) NJ-146 RUSSELL REID,NJ-146_Russell_Reid_cdd.2019-07A.wtd.pdf,1,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Allocco_Recycling_LTD_cdd.2020-10M.wtd.pdf,6,,,,,Out of State Tracking Documents\NJ\(Done) NJ-146 RUSSELL REID,NJ,(Done) NJ-146 RUSSELL REID,NJ-146_Russell_Reid_cdd.2019-07B.wtd.pdf,1,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Carver_Sand_&_Grave;_cdd.2021-05L.wtd.pdf,2,,,,,Out of State Tracking Documents\NJ\(Done) NJ-146 RUSSELL REID,NJ,(Done) NJ-146 RUSSELL REID,NJ-146_Russell_Reid_cdd.2019-07C.wtd.pdf,1,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Carver_Sand_&_Gravel.cdd.2019-06A.wtd.pdf,101,,,,,Out of State Tracking Documents\NJ\(Done) NJ-146 RUSSELL REID,NJ,(Done) NJ-146 RUSSELL REID,NJ-146_Russell_Reid_cdd.2019-09.wtd.pdf,1,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Carver_Sand_&_Gravel.cdd.2020-01.wtd.pdf,16,,,,,Out of State Tracking Documents\NJ\(Done) NJ-146 RUSSELL REID,NJ,(Done) NJ-146 RUSSELL REID,NJ-146_Russell_Reid_cdd.2020-03.wtd.pdf,1,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Carver_Sand_&_Gravel.cdd.2020-01D.wtd.pdf,14,,,,,Out of State Tracking Documents\NJ\(Done) NJ-146 RUSSELL REID,NJ,(Done) NJ-146 RUSSELL REID,NJ-146_Russell_Reid_cdd.2020-03A.wtd.pdf,1,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Carver_Sand_&_Gravel.cdd.2020-09O.wtd.pdf,2,,,,,Out of State Tracking Documents\NJ\(Done) NJ-146 RUSSELL REID,NJ,(Done) NJ-146 RUSSELL REID,NJ-146_Russell_Reid_cdd.2020-08.wtd.pdf,4,,,
NYS Tracking Documents\(Done) R4\(Done) 4A-544 CARVER SAND & GRAVEL,R4,(Done) 4A-544 CARVER SAND & GRAVEL,4A-544_Carver_Sand_&_Gravel.cdd.2020-09P.wtd.pdf,4,,,,,Out of State Tracking Documents\NJ\(Done) NJ-146 RUSSELL REID,NJ,(Done) NJ-146 RUSSELL REID,NJ-146_Russell_Reid_cdd.2020-08A.wtd.pdf,4,,,
